claim_id,exact_wording,claim_type,supporting_source_artifact,numerator,denominator,scope_qualifier,prohibited_stronger_wording,canonical_artifact_path,canonical_field_key,rendered_macro_table_figure_location,validation_status
E03,At budget 0.50 the global controller recalled 33 of 34 oracle-ambiguous traces and had median query fraction 0.2088.,empirical,b11/operational_controller_metrics.csv,33,34,Frozen pooled B1.1 budget 0.50,Fine-resolution validation at budget 0.50.,b11_global/canonical_summary.json,budget_0_50,paper/tables/b11_global_validation.csv,PASS_UNIQUE_MAPPING
E04,"At budget 0.75 the global controller was safe on 20 of 20 oracle-nonambiguous traces, recalled 5 of 7 oracle-FINE traces, and had median query fraction 0.2088.",empirical,b11/operational_controller_metrics.csv,20,20,Frozen pooled B1.1 budget 0.75; FINE recall has separate 5/7 denominator,Universal safety or recall outside the frozen bank.,b11_global/canonical_summary.json,budget_0_75,paper/tables/b11_global_validation.csv,PASS_UNIQUE_MAPPING
E05,"Formal B2 passed all frozen safety, coverage, utility, and cost gates in one persistent-plus-optional synthetic four-region application.",empirical,formal_b2/formal_adjudication.json; formal_b2/FINAL_AUDIT_REPORT.md,15,15,72 dictionary states x AB/ABC/ABD = 216 explanations,Real-data or arbitrary-application validation.,formal_b2/canonical_merged_summary.json,terminal_status; application,paper/tables/formal_b2_application_gates.csv,PASS_UNIQUE_MAPPING
E06,"Formal B2 observed 0/56 unsafe outputs, 0/15 possible-set violations, 0/2088 completed-prefix bound violations, and 0/3 false D-absence controls.",empirical,formal_b2/contract_faithful_safety_audit.json; paper_export/b2f03_safety_closure_summary.json,0,56,Four distinct denominators; 2088 uses 14 completed validations,Use of legacy safety nulls or claim that P05 had a completed bound validation.,formal_b2/canonical_merged_summary.json,safety,paper/tables/formal_b2_application_gates.csv,PASS_UNIQUE_MAPPING
E07,Formal B2 completed 11/12 main exact oracles and 3/3 control exact oracles.,empirical,formal_b2/primary_budget_metrics.json,11,12,One main weak-C case had an administrative empty profile,Imputing a physical map or oracle result for P05.,formal_b2/primary_budget_metrics.json,coverage,paper/tables/formal_b2_application_gates.csv,PASS_UNIQUE_MAPPING
E08,"The application controller recalled A FINE in 10/11 eligible cases, B SECTOR_SAFE in 5/5, C ambiguity in 5/5, and D absence above beta-min in 10/10.",empirical,formal_b2/primary_budget_metrics.json,10,11,Each region has its own conditional denominator,Unconditional 100% recovery or absence below the beta-min threshold.,formal_b2/primary_budget_metrics.json,utility,paper/tables/formal_b2_application_gates.csv,PASS_UNIQUE_MAPPING
E09,The plug-in baseline was falsely FINE for B in 5/5 eligible exact-sector weak cases and falsely certain for C in 5/5 eligible exact-ambiguous weak cases.,empirical,formal_b2/plugin_false_precision_metrics.json,5,5,Eligible weak-C cases in the frozen application,General inferiority of all plug-in sparse solvers.,formal_b2/plugin_false_precision_metrics.json,metrics,paper/tables/formal_b2_application_gates.csv,PASS_UNIQUE_MAPPING
E10,"The Formal B2 median primary query count was 148/216; the 108-query result is a descriptive prefix of the same traces, not a separate run.",empirical,formal_b2/primary_budget_metrics.json; formal_b2/secondary_budget_metrics.json,148,216,Frozen primary cap 162 and descriptive prefix 108,A universal 31.5% computational saving or a secondary-controller experiment.,formal_b2/primary_budget_metrics.json; formal_b2/secondary_prefix_metrics.json,cost; query_prefix; separate_controller_run,paper/tables/formal_b2_application_gates.csv,PASS_UNIQUE_MAPPING
I01,P05 is an administrative empty profile with native status ORACLE_EMPTY_PROFILE_INCOMPLETE and a null physical map.,interpretation,formal_b2/paper_export/B2F03_EMPTY_PROFILE_DISCLOSURE.md,1,15,Excluded from truth-relative utility and completed bound validation; included in query cost and all-trace possible-set audit,"Timeout, all regions absent, or a valid fallback physical label.",formal_b2/empty_profile_disclosure.json,$,M1 Sections 5 and 6.3,PASS_UNIQUE_MAPPING
E11,The theorem-native exact-mixture calculation gives a Jeffreys s-exponent 5.9355 but remains HOLD because the median product-affinity spread was 0.0166976 against 0.015.,empirical,original_experiment/results/adjudication.json; THREE_GATE_SIMULATION_ADJUDICATION.md,,,Scoped numerical illustration only,"Confirmatory PASS, full-correspondence validation, scalable computation, or application transfer.",original_numerical/canonical_summary.json,status; scaling.jeffreys; failed_frozen_criterion,paper/tables/original_numerical_disclosure.csv,PASS_UNIQUE_MAPPING
I02,"The fixed synthetic application shows how isolated, coherent, weak optional, and detectable optional components can require different output resolutions.",interpretation,formal_b2/primary_budget_metrics.json; representative_examples.json,,,One frozen sensor-response library,A universal taxonomy for physical sources.,formal_b2/canonical_merged_summary.json; formal_b2/figure_data/representative_case_rows.csv,application; representative maps,paper/figure_manifest.csv F5,PASS_UNIQUE_MAPPING
